source_case,similar_case,similarity_score,method,citation_link,source_case_topic
62003CJ0177,62004CJ0065,0.4738890468941565,tfidf,0,public health
62003CJ0177,62001CJ0429,0.4329468837085008,tfidf,0,public health
62003CJ0177,62008CJ0115,0.4093482633379968,tfidf,0,public health
62003CJ0177,62003CJ0061,0.3924048487372538,tfidf,0,public health
62003CJ0177,62001CJ0483,0.3621928094011971,tfidf,0,public health
62003CJ0177,62001CJ0484,0.35560496224579935,tfidf,0,public health
62003CJ0177,62001CJ0348,0.35254037673836863,tfidf,0,public health
62003CJ0177,62002CJ0161,0.35046957533011786,tfidf,0,public health
62003CJ0177,62003CJ0066,0.34916019953388294,tfidf,0,public health
62003CJ0177,61996CJ0021,0.3463166239926062,tfidf,0,public health
62003CJ0177,62002CJ0218,0.3325073208369328,tfidf,0,public health
62003CJ0177,62001CJ0296,0.3316235757943755,tfidf,1,public health
62003CJ0177,62001CJ0286,0.32994825274178935,tfidf,0,public health
62003CJ0177,62001CJ0259,0.3292356122840036,tfidf,0,public health
62003CJ0177,62000CJ0097,0.3283608868098573,tfidf,0,public health
62003CJ0177,61999CJ0029,0.32621744420289905,tfidf,0,public health
62003CJ0177,62002CJ0114,0.32150101773252604,tfidf,0,public health
62003CJ0177,62001CJ0146,0.32114528027775835,tfidf,0,public health
62003CJ0177,61998CJ0327,0.3183429760602608,tfidf,0,public health
62003CJ0177,61996CJ0223,0.31753345593312937,tfidf,0,public health
62015CJ0270,62014CJ0591,0.7836843151080817,tfidf,1,public health
62015CJ0270,62008CJ0562,0.5765691401106858,tfidf,0,public health
62015CJ0270,62007CJ0430,0.5284619306779716,tfidf,0,public health
62015CJ0270,62011CJ0601,0.4524156207149593,tfidf,0,public health
62015CJ0270,61996CJ0180,0.4130188365432442,tfidf,0,public health
62015CJ0270,61996CO0180,0.3849411102124758,tfidf,0,public health
62015CJ0270,62004CJ0504,0.35337056976718106,tfidf,0,public health
62015CJ0270,62000CJ0409,0.35060910986076405,tfidf,0,public health
62015CJ0270,61983CJ0039,0.3490879778248087,tfidf,0,public health
62015CJ0270,62013CJ0672,0.34300843077728665,tfidf,0,public health
62015CJ0270,61996CJ0157,0.34189644256909346,tfidf,0,public health
62015CJ0270,61969CJ0047,0.3356342648005961,tfidf,0,public health
62015CJ0270,61997CJ0372,0.32714836180409634,tfidf,0,public health
62015CJ0270,62014CO0431,0.32682308399111115,tfidf,0,public health
